simNum	IVsNum	P_1	eff_1	eff_mean_minClass	sd_minClass	P_minClass	P_minClass_mean	eff_mean_maxClass	sd_maxClass	P_maxClass	P_maxClass_mean	corTest_1	CHVP_test	AIC_1	gamma_1	prop_1
58	107	0.00308679774009381	0.0973734674306273	0.10270681636194	0.0321523004669679	0.00308679774009381	0.00184583351413545	0.330412537748307	0.0433696853493045	4.69725179696679e-12	1.13615027302212e-11	0	2.46792807872788e-05	-616.473290409539	0.0973734674306273_0.33804597413645	0.507031638475505_0.492968361524495	
50	110	0.00435271346739184	0.0701601209163447	0.075856228704568	0.0240910557281273	0.00435271346739184	0.00211600148897949	0.262929778096188	0.0436696865780772	1.43812866401673e-08	2.38133379044449e-08	2.88657986402541e-13	0.000176187028754396	-636.660778208962	0.0701601209163447_0.267662410930184	0.502199210271872_0.497800789728128	
20	89	6.92978084922027e-05	0.139777423223802	0.143343972830267	0.0334615552736933	6.92978084922027e-05	4.67580993879289e-05	0.240904187542287	0.0647196905380594	0.000318743632367962	0.000347541686416194	0.00691806645394233	0.18055675448124	-495.107290180248	0.139777423223802_0.24253807533628	0.501421699089027_0.498578300910973	
12	115	0.0255618269231905	0.0995271036826081	0.102144819284277	0.0439901439177732	0.0255618269231905	0.0220090386622656	0.313138847310345	0.0493986962191767	3.75730386610426e-09	4.78598248609608e-09	8.65973959207622e-15	0.00142372669057776	-651.133625468459	0.0995271036826081_0.315626720590228	0.500593271681167_0.499406728318833	
73	100	5.13805219539873e-06	0.0842762834368014	0.0868502602008105	0.0174759429454914	5.13805219539873e-06	2.81227641243282e-06	0.312748281277696	0.0465764474744609	1.23250100337992e-09	1.19742902751851e-09	4.44089209850063e-16	5.60070613898464e-06	-590.590138026138	0.0842762834368014_0.31246276108633	0.517617518705935_0.482382481294065	
35	103	0.00194665227407464	0.0652060914960991	0.0701141151342071	0.0205006093137575	0.00194665227407464	0.000901359874255908	0.349006036646544	0.0483581597876679	8.10675134587426e-11	9.7019302358014e-11	0	1.0975504142507e-07	-590.398667981871	0.0652060914960991_0.350790444955923	0.513514166949851_0.486485833050149	
88	104	0.00772851978981641	0.136036536405065	0.0981922691423011	0.0500682680393378	0.00772851978981641	0.0525592809245045	0.249906402662873	0.0567814383415317	0.000243641172808445	2.63466239165696e-05	0.0142028011651958	0.0450628866673062	-578.917529517791	0.136036536405065_0.215870025186394	0.500771798766461_0.499228201233539	
59	93	0.00232710713071538	0.0649995653450638	0.0726837893367295	0.0207522202541129	0.00232710713071538	0.000713505359799686	0.308231436562904	0.0426095836004475	3.67998756736273e-11	1.36589718326818e-10	0	6.69720758544922e-07	-555.831543536534	0.0649995653450638_0.320083417235258	0.511639968516992_0.488360031483008	
5	105	0.00328951844370423	0.0694913999054685	0.0732327479749872	0.0230953461390101	0.00328951844370423	0.00199727113474386	0.348831342606737	0.0372543583163666	8.35098911040845e-16	1.7774382719392e-15	0	3.22516228042976e-10	-612.468469494152	0.0694913999054685_0.35430783099902	0.510368220561236_0.489631779438764	
96	101	1.02867157859956e-06	0.228193581112221	0.142447354394154	0.042127753652633	0.00064704379618415	0.00103040887964056	0.238559648758437	0.0438239176513684	1.02867157859956e-06	3.73453247511099e-07	0.00679572979766374	0.11385872753757	-568.998775308251	0.148373288081357_0.228193581112221	0.49929442411776_0.50070557588224	
66	110	0.000177497371749667	0.131014179627724	0.12658026851018	0.0337438384027415	0.000177497371749667	0.000283763195084985	0.223565925295094	0.0496276932790349	1.61722736006437e-05	1.67547069971843e-05	0.00359550899789673	0.106077294670421	-633.032231713704	0.131014179627724_0.224008248235773	0.504877031144676_0.495122968855324	
28	117	9.45389423876494e-05	0.123930108517341	0.122223273887019	0.0306361466453404	9.45389423876494e-05	0.000116319255764748	0.271661289055744	0.0389364517161564	1.46504849761618e-10	1.98873571285081e-10	3.4059666198516e-08	0.00255913044650606	-694.580890592311	0.123930108517341_0.274032456000338	0.509325613568891_0.490674386431109	
44	101	0.0148165032239394	0.136771683436267	0.117772753544431	0.0551541771593976	0.0148165032239394	0.0351759876813961	0.351303626397776	0.0523446003567535	5.30221467993562e-09	1.17773371889132e-09	9.84751031829489e-08	0.00213203338265382	-551.129307501942	0.136771683436267_0.334489477603164	0.509144572760149_0.490855427239851	
82	101	0.00127718255314604	0.0828355863821749	0.0848060126203856	0.0249875157589937	0.00127718255314604	0.000988801944964895	0.336961176879204	0.0480221004041135	3.54812689777712e-10	2.75294303358407e-10	1.33226762955019e-15	3.19335080980432e-06	-572.335048227042	0.0828355863821749_0.334415403757684	0.514815079508997_0.485184920491003	
13	104	0.0124934501347649	0.0733613457679237	0.0746206023837448	0.0288537704713248	0.0124934501347649	0.0111024243879968	0.247007230054292	0.0465250991316953	7.21411699679629e-07	6.37051775947849e-07	2.3379096436571e-09	0.00163917647641121	-596.912041015907	0.0733613457679237_0.245661372486396	0.505353453892809_0.494646546107191	
74	113	1.31893757560378e-19	0.361654329914638	0.0782342335153297	0.0365553616438989	0.0782501022403943	0.0345118066438005	0.348424269135588	0.0327756542241718	1.31893757560378e-19	1.13551559418699e-18	0	3.73038214387553e-08	-641.863992776392	0.0649661247362142_0.361654329914638	0.49016689969534_0.50983310030466	
21	95	0.130098647144021	0.0449648980263673	0.0429286392545166	0.0294449849965407	0.130098647144021	0.14819366832635	0.297249577647674	0.0368934066298353	1.49457070380789e-12	2.42418886419928e-12	0	7.13237310926662e-08	-537.4481711845	0.0449648980263673_0.300936133824229	0.501796252089788_0.498203747910212	
